t=2025-12-15T16:06:43+0500 lvl=info msg="no configuration paths supplied"
t=2025-12-15T16:06:43+0500 lvl=info msg="using configuration at default config path" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-15T16:06:43+0500 lvl=info msg="open config file" path="/Users/talha/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-15T16:10:43+0500 lvl=info msg="join connections" obj=join id=67177f16ccd0 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:45+0500 lvl=info msg="join connections" obj=join id=74d75c510df6 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:47+0500 lvl=info msg="join connections" obj=join id=d84a115f1559 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:49+0500 lvl=info msg="join connections" obj=join id=cd30c2b798de l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:51+0500 lvl=info msg="join connections" obj=join id=7334f69be8fe l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:53+0500 lvl=info msg="join connections" obj=join id=f439ea0519bb l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:55+0500 lvl=info msg="join connections" obj=join id=63e38a1204cd l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:57+0500 lvl=info msg="join connections" obj=join id=ee5c259ca5ff l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:10:58+0500 lvl=info msg="join connections" obj=join id=517e5f49398f l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:00+0500 lvl=info msg="join connections" obj=join id=3c366ae6f930 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:11:00+0500 lvl=info msg="join connections" obj=join id=420ee538edac l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:00+0500 lvl=info msg="join connections" obj=join id=251c1ac3284f l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:01+0500 lvl=info msg="join connections" obj=join id=cb94f3c13646 l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:11:01+0500 lvl=info msg="join connections" obj=join id=ccd3bb2e46fc l=127.0.0.1:3000 r=[2407:d000:8:3717:c5cc:4e03:a7ae:b949]:64286
t=2025-12-15T16:11:02+0500 lvl=info msg="join connections" obj=join id=4e8b543aeda9 l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
t=2025-12-15T16:11:04+0500 lvl=info msg="join connections" obj=join id=09a1eba91b5c l=127.0.0.1:3000 r=[2407:aa80:314:e893:292d:af23:9625:64fc]:60987
